id,tenant_id,unit_uid,reading_def_uid,started_on,ended_on,index,is_array,is_unit_on,value,duration_milliseconds,remote_id,purge,sync,instance_id,remove
3a1fca2a-0d6d-a347-02a8-ebd25c4603cf,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-04 08:35:50.457+00,,0,t,f, DOOR INTERLOCK ALARM.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fce7f-00c2-30f2-1723-43651c9d669b,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-05 04:47:04.396+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fd3a4-5554-5a04-1879-e51009415246,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-06 04:45:54.816+00,,0,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fd46c-b6e6-a733-dfdb-de2a3b859764,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-06 08:24:46.45+00,,0,t,f,P OR Q COMMAND IS NOT IN THE MULTIPLE REPETIVE CYCLES BLOCK,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fe310-41c8-bc39-efe8-751c9c61b950,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-09 04:37:59.233+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1fe314-520b-b3af-855d-ec3bcaa8cb96,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-09 04:42:25.521+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ff34a-4b11-3451-1a06-470523780a48,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-12 08:15:11.151+00,,0,t,f, LUBE OIL LAST.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a1ff7af-f288-ced7-f259-ee8a35b83a1a,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-13 04:44:39.698+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a20085d-77c7-858b-bcbc-864f8abc1f5f,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-16 10:28:00.276+00,,0,t,f,(Z)+ OVERTRAVEL ( SOFT 1 ),,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a200c42-967d-b6f7-2e14-7503e0a36b4c,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-17 04:37:05.783+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a203a9e-23ee-04e1-6a13-d401d072d266,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-26 04:40:06.215+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a203a9e-2416-04d4-d6a5-073f199639d8,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-26 04:40:06.215+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a203ab8-c0d7-db45-99b7-8a3f4a9e4a11,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-26 05:09:10.233+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a203fc5-71aa-ae9e-d5dd-a4f50aba778d,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-27 04:41:07.78+00,,0,t,f, Z AXIS NEED  ZERO RETURN !,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a203fc5-71c9-1510-1903-3100d86cb491,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0bb7-86db-9c63-ca5b1272cbf3,3a1eb3d6-3861-8614-2781-23ce6a1bffce,2026-03-27 04:41:07.78+00,,1,t,f," AIR PRESSURE FAILED!
",,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a203fc7-557a-651b-5c7d-aead5ca6e4a2,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-03-27 04:43:11.458+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a2073ce-d923-40cb-8989-e9e7f7519c93,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-06 07:11:15.4+00,,0,t,f, DOOR INTERLOCK ALARM.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a207876-5520-9231-e06e-a8c907b599cd,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-07 04:52:38.357+00,,0,t,f, EMERGENCY STOP.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
3a20788b-8401-94cc-bd1a-4d5266ce46d1,3a1b2a65-d6cf-72ac-d066-46993d168fef,3a1d1435-0afb-41a7-2d12-5eb77c185258,3a1eb3d6-3880-d3e2-9558-cc8a156cda52,2026-04-07 05:15:46.766+00,,0,t,f, DOOR INTERLOCK ALARM.,,,f,f,3a1d1435-080b-6cb7-d486-2c9123b41e71,f
